Categoria,Marca,Modelo,Especificaciones,Precio_CLP,Stock
Procesador,Amd,"Procesador AMD Ryzen 5 8600G, 6-Core, 4.3GHz, Socket AM5 65W, Radeon Graphics","Procesador AMD Ryzen 5 8600G, 6-Core, 4.3GHz, Socket AM5 65W, Radeon Graphics",218990,Alta
Procesador,Amd,Procesador Gamer AMD A10-6800K con Gráficos Radeon HD 8670D,Procesador Gamer AMD A10-6800K con Gráficos Radeon HD 8670D,99990,Alta
Procesador,Intel,Procesador Intel Core i7-6700 de 4 GHz y 4 Núcleos con Gráficos HD 530,Procesador Intel Core i7-6700 de 4 GHz y 4 Núcleos con Gráficos HD 530,139990,Alta
Procesador,Amd,"Procesador gamer AMD Ryzen 7 3700X 8 núcleos , 3.6GHz (4.4 MAX Boost) Socket AM4","Procesador gamer AMD Ryzen 7 3700X 8 núcleos , 3.6GHz (4.4 MAX Boost) Socket AM4",167191,Alta
Procesador,Amd,Procesador gamer AMD Ryzen 3 3200G YD3200C5FHBOX de 4 núcleos y 4GHz de frecuencia con gráfica integrada,Procesador gamer AMD Ryzen 3 3200G YD3200C5FHBOX de 4 núcleos y 4GHz de frecuencia con gráfica integrada,82900,Alta
Procesador,Intel,Procesador Intel Core i7-6700K 4.2GHz 4 Núcleos Gráfica Integrada,Procesador Intel Core i7-6700K 4.2GHz 4 Núcleos Gráfica Integrada,159990,Alta
Procesador,Amd,Procesador gamer AMD Ryzen 5 3400G YD3400C5FHBOX de 4 núcleos y 4.2GHz de frecuencia con gráfica integrada,Procesador gamer AMD Ryzen 5 3400G YD3400C5FHBOX de 4 núcleos y 4.2GHz de frecuencia con gráfica integrada,96900,Alta
Procesador,Intel,Core i3-10100 Procesador 4 Núcleos 4.3GHz Gráfica UHD 630,Intel Core i3-10100 Procesador 4 Núcleos 4.3GHz Gráfica UHD 630,161900,Alta
Procesador,Amd,Procesador AMD Ryzen 7 5700G 100-100000263BOX de 8 núcleos y 4.6GHz de frecuencia con gráfica integrada,Procesador AMD Ryzen 7 5700G 100-100000263BOX de 8 núcleos y 4.6GHz de frecuencia con gráfica integrada,234900,Alta
Procesador,Intel,Procesador gamer Intel Core I9-12900KF BX8071512900KF de 16 núcleos y 5.2GHz de frecuencia con gráfica integrada,Procesador gamer Intel Core I9-12900KF BX8071512900KF de 16 núcleos y 5.2GHz de frecuencia con gráfica integrada,418491,Alta
Procesador,Intel,Procesador Intel Core i5-12400F 6 núcleos 4.4GHz LGA 1700 DDR5 Alder Lake,Procesador Intel Core i5-12400F 6 núcleos 4.4GHz LGA 1700 DDR5 Alder Lake,209990,Alta
Procesador,Amd,Procesador gamer AMD A10-Series A10-7870K AD787KXDJCSBX de 4 núcleos y 4.1GHz de frecuencia con gráfica integrada,Procesador gamer AMD A10-Series A10-7870K AD787KXDJCSBX de 4 núcleos y 4.1GHz de frecuencia con gráfica integrada,129990,Alta
Procesador,Intel,Procesador Intel Core i7-12700 12 núcleos 4.9GHz UHD Graphics 770,Procesador Intel Core i7-12700 12 núcleos 4.9GHz UHD Graphics 770,409900,Alta
Procesador,Amd,Procesador gamer AMD Ryzen 9 7950X 100-100000514WOF de 16 núcleos y 5.7GHz de frecuencia con gráfica integrada,Procesador gamer AMD Ryzen 9 7950X 100-100000514WOF de 16 núcleos y 5.7GHz de frecuencia con gráfica integrada,729990,Alta
Procesador,Amd,Procesador gamer AMD Ryzen 7 7700X 100-100000591WOF de 8 núcleos y 5.4GHz de frecuencia con gráfica integrada,Procesador gamer AMD Ryzen 7 7700X 100-100000591WOF de 8 núcleos y 5.4GHz de frecuencia con gráfica integrada,427990,Alta
Tarjeta_Video,Msi,Tarjeta de Video Nvidia GeForce MSI RTX 5050 8G Shadow 2X OC 8GB GDDR6,Tarjeta de Video Nvidia GeForce MSI RTX 5050 8G Shadow 2X OC 8GB GDDR6,347990,Alta
Tarjeta_Video,Msi,Tarjeta de Video Nvidia Geforce RTX 5070 12G VENTUS 3X OC,Tarjeta de Video Nvidia Geforce RTX 5070 12G VENTUS 3X OC,799990,Alta
Tarjeta_Video,,Tarjeta Vertical Riser Usb 3.0 1-16x Pci-e Molex Miner V006c,Tarjeta Vertical Riser Usb 3.0 1-16x Pci-e Molex Miner V006c,9990,Alta
Tarjeta_Video,,Tarjeta De Video Gigabyte Rtx 5060 Ti Eagle Oc 8gb Ice,Tarjeta De Video Gigabyte Rtx 5060 Ti Eagle Oc 8gb Ice,597990,Alta
Tarjeta_Video,Palit,Tarjeta de Video Palit GeForce RTX 3050 6GB GDDR6 PCIe 4.0 8K Nvidia,Tarjeta de Video Palit GeForce RTX 3050 6GB GDDR6 PCIe 4.0 8K Nvidia,271990,Alta
Tarjeta_Video,Quadro,Tarjeta De Vídeo Nvidia Quadro K600 Para Ps Cad Oficina,Tarjeta De Vídeo Nvidia Quadro K600 Para Ps Cad Oficina,28900,Alta
Tarjeta_Video,Zotac,Tarjeta de Video Nvidia GeForce Zotac RTX 5060Ti TwinEdge OC 16GB GDDR7,Tarjeta de Video Nvidia GeForce Zotac RTX 5060Ti TwinEdge OC 16GB GDDR7,724990,Alta
Tarjeta_Video,Msi,Tarjeta de Video Nvidia GeForce MSI RTX 5070 12G Ventus 3X OC 12GB GDDR7,Tarjeta de Video Nvidia GeForce MSI RTX 5070 12G Ventus 3X OC 12GB GDDR7,753990,Alta
Tarjeta_Video,Msi,Tarjeta Madre Msi Mag B760 Tomahawk Wifi Socket 1700 Color Negro,Tarjeta Madre Msi Mag B760 Tomahawk Wifi Socket 1700 Color Negro,304900,Alta
Tarjeta_Video,Msi,Tarjeta gráfica Nvidia MSI Ventus OC EDITION PLUS RTX 5060 Ti OC Edition 8GB,Tarjeta gráfica Nvidia MSI Ventus OC EDITION PLUS RTX 5060 Ti OC Edition 8GB,577990,Alta
Tarjeta_Video,,Stream Deck Redragon Ragnaros Ss-552 10 Botones Negro,Stream Deck Redragon Ragnaros Ss-552 10 Botones Negro,120990,Alta
Tarjeta_Video,Gt,Tarjeta Video Gt 610 2gb Ddr3 128bit Pci-e 3.0,Tarjeta Video Gt 610 2gb Ddr3 128bit Pci-e 3.0,89990,Alta
Tarjeta_Video,,Msi Tarjeta Madre Pro H610m-g Ddr5 Socket 1700,Msi Tarjeta Madre Pro H610m-g Ddr5 Socket 1700,101400,Alta
Tarjeta_Video,Zotac,Tarjeta de Video Zotac NV-GF-GT730 4GB DDR3 PCIe HDMI DVI VGA Low Profile Pasivo,Tarjeta de Video Zotac NV-GF-GT730 4GB DDR3 PCIe HDMI DVI VGA Low Profile Pasivo,109990,Alta
Tarjeta_Video,Genérica,Tarjeta Adaptador Doble Sonido Usb Stereo Audio + Microfono,Tarjeta Adaptador Doble Sonido Usb Stereo Audio + Microfono,4990,Alta
Placa_Madre,Msi,Tarjeta Madre MSI PRO H610M-G DDR4 LGA1700 12°G 2*DDR4 M.2 DP HDMI VGA PS2 mATX,Tarjeta Madre MSI PRO H610M-G DDR4 LGA1700 12°G 2*DDR4 M.2 DP HDMI VGA PS2 mATX,79990,Alta
Placa_Madre,Gen,FUENTE PODER MAX-60W-24 2.5A 24VDC,FUENTE PODER MAX-60W-24 2.5A 24VDC,24990,Alta
Placa_Madre,Gen,FUENTE PODER MAX-250W-24 10A 24VDC,FUENTE PODER MAX-250W-24 10A 24VDC,37990,Alta
Placa_Madre,Gen,FUENTE PODER MAX-60W-12 5A 12VDC ELECTRONI,FUENTE PODER MAX-60W-12 5A 12VDC ELECTRONI,28990,Alta
Placa_Madre,Gen,AUTO TRANSFORMADOR  GFC100W 220/110V,AUTO TRANSFORMADOR  GFC100W 220/110V,22990,Alta
Placa_Madre,Gen,AUTO TRANSFORMADOR 220/110V GFC200W,AUTO TRANSFORMADOR 220/110V GFC200W,27990,Alta
Placa_Madre,Gen,GFC300W AUTO TRANSFORMADOR 220/110V,GFC300W AUTO TRANSFORMADOR 220/110V,32990,Alta
Placa_Madre,Gen,GFC500W AUTO TRANSFORMADOR 220/110V,GFC500W AUTO TRANSFORMADOR 220/110V,39990,Alta
Placa_Madre,Electro Harmonix,Pedal Sintetizador Electro-Harmonix Mono Synth Para Guitarra Con 11 Sonidos ,Pedal Sintetizador Electro-Harmonix Mono Synth Para Guitarra Con 11 Sonidos ,189990,Alta
Placa_Madre,Guitto,Pedalboard Mediano Para Guitarra Con Sistema De Clipe  Guitto Gpb02,Pedalboard Mediano Para Guitarra Con Sistema De Clipe  Guitto Gpb02,109990,Alta
Placa_Madre,,Raspberry 340 G Campoverde,Raspberry 340 G Campoverde,5590,Alta
Placa_Madre,Hp,"Cargador De Notebook 4,5mm 65w Inteligente Hp 220v Negro","Cargador De Notebook 4,5mm 65w Inteligente Hp 220v Negro",17149,Alta
Placa_Madre,Generac,Gabinete De Computadora Ds900 Atx De Vidrio Templado Negro,Gabinete De Computadora Ds900 Atx De Vidrio Templado Negro,63990,Alta
Placa_Madre,Clio,Gabinete Clio Slim Cl-s613 Con Fuente De Poder 600w,Gabinete Clio Slim Cl-s613 Con Fuente De Poder 600w,75900,Alta
Placa_Madre,Clio,Gabinete Slim Clio Cl-s605 Full Con Fuente De Poder 500w,Gabinete Slim Clio Cl-s605 Full Con Fuente De Poder 500w,65900,Alta
Memoria_RAM,Corsair,"Memoria Ram Corsair Vengeance Rgb Black, Ddr5, 8gb, 5200mt/s","Memoria Ram Corsair Vengeance Rgb Black, Ddr5, 8gb, 5200mt/s",134990,Alta
Memoria_RAM,Kingston,Memoria RAM DDR5 8GB 6000 MHz Fury Beast Black EXPO UDIMM,Memoria RAM DDR5 8GB 6000 MHz Fury Beast Black EXPO UDIMM,169990,Alta
Memoria_RAM,,Dimm 16 Gb - Ddr5 6000 Mhz - Xpg Lancer Blade White,Dimm 16 Gb - Ddr5 6000 Mhz - Xpg Lancer Blade White,249990,Alta
Memoria_RAM,Corsair,Memorias Ram Corsair Vengeance Rgb 32gb Ddr5-6400,Memorias Ram Corsair Vengeance Rgb 32gb Ddr5-6400,699990,Alta
Memoria_RAM,Kingston,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Kingston,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Kingston,71990,Alta
Memoria_RAM,Corsair,Memoria RAM 8GB DDR4 3200MHz DIMM CL16 Non-ECC 1.35v 288p Corsair Vengeance LPX,Memoria RAM 8GB DDR4 3200MHz DIMM CL16 Non-ECC 1.35v 288p Corsair Vengeance LPX,78990,Alta
Memoria_RAM,Crucial,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Crucial,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Crucial,69990,Alta
